('湖州', ['2014-01-06', 179.0])
('哈尔滨', ['2014-01-06', 217.0])
('南昌', ['2014-01-06', 137.0])
('天津', ['2014-01-06', 138.0])
('杭州', ['2014-01-06', 198.0])
('大连', ['2014-01-06', 141.0])
('绍兴', ['2014-01-06', 194.0])
('上海', ['2014-01-06', 43.0])
('宁波', ['2014-01-06', 122.0])
('深圳', ['2014-01-06', 126.0])
('西安', ['2014-01-06', 218.0])
('武汉', ['2014-01-06', 235.0])
('厦门', ['2014-01-06', 85.0])
('福州', ['2014-01-06', 110.0])
('广州', ['2014-01-06', 207.0])
('重庆', ['2014-01-06', 202.0])
('青岛', ['2014-01-06', 272.0])
('温州', ['2014-01-06', 183.0])
('昆明', ['2014-01-06', 55.0])
('济南', ['2014-01-06', 489.0])
('泉州', ['2014-01-06', 81.0])
('中山', ['2014-01-06', 133.0])
('北京', ['2014-01-06', 182.0])
('成都', ['2014-01-06', 205.0])
('南京', ['2014-01-06', 181.0])
('东莞', ['2014-01-06', 190.0])
('郑州', ['2014-01-06', 183.0])
('南通', ['2014-01-06', 62.0])
('盐城', ['2014-01-06', 47.0])
('苏州', ['2014-01-06', 56.0])
('金华', ['2014-01-06', 206.0])
('无锡', ['2014-01-06', 75.0])
('廊坊', ['2014-01-06', 189.0])
('沈阳', ['2014-01-06', 160.0])
('珠海', ['2014-01-06', 137.0])
('保定', ['2014-01-06', 203.0])
('柳州', ['2014-01-06', 299.0])
('台州', ['2014-01-06', 125.0])
('江门', ['2014-01-06', 148.0])
('惠州', ['2014-01-06', 154.0])
('常州', ['2014-01-06', 112.0])
('嘉兴', ['2014-01-06', 58.0])
('聊城', ['2014-01-06', 361.0])
('佛山', ['2014-01-06', 181.0])
('南宁', ['2014-01-06', 172.0])
('合肥', ['2014-01-06', 229.0])
('宿迁', ['2014-01-06', 110.0])
('长沙', ['2014-01-06', 170.0])
('泰州', ['2014-01-06', 82.0])
('丽水', ['2014-01-06', 132.0])
('邯郸', ['2014-01-06', 280.0])
('贵阳', ['2014-01-06', 190.0])
('徐州', ['2014-01-06', 150.0])
('株洲', ['2014-01-06', 182.0])
('荆州', ['2014-01-06', 257.0])
('太原', ['2014-01-06', 119.0])
('濮阳', ['2014-01-06', 232.0])
('淮安', ['2014-01-06', 91.0])
('扬州', ['2014-01-06', 136.0])
('镇江', ['2014-01-06', 161.0])
('咸阳', ['2014-01-06', 168.0])
('日照', ['2014-01-06', 199.0])
('石家庄', ['2014-01-06', 372.0])
('汕尾', ['2014-01-06', 155.0])
('清远', ['2014-01-06', 215.0])
('济宁', ['2014-01-06', 241.0])
('德阳', ['2014-01-06', 139.0])
('舟山', ['2014-01-06', 42.0])
('湛江', ['2014-01-06', 120.0])
('三亚', ['2014-01-06', 99.0])
('威海', ['2014-01-06', 172.0])
