{'_id': ObjectId('5bd7cf53bc877a065acb4a18'), 'city': '湖州', 'date': '2014-01-05', 'AQI': '289', 'grade': '重度污染', 'PM25': '239', 'PM10': '298', 'SO2': '36', 'CO': '2.1', 'NO2': '97', 'O3_8h': '36'}
{'_id': ObjectId('5bd7cf55bc877a065acb50f9'), 'city': '哈尔滨', 'date': '2014-01-05', 'AQI': '412', 'grade': '严重污染', 'PM25': '369', 'PM10': '450', 'SO2': '184', 'CO': '3.2', 'NO2': '123', 'O3_8h': '22'}
{'_id': ObjectId('5bd7cf56bc877a065acb57d9'), 'city': '南昌', 'date': '2014-01-05', 'AQI': '132', 'grade': '轻度污染', 'PM25': '101', 'PM10': '167', 'SO2': '44', 'CO': '1.5', 'NO2': '55', 'O3_8h': '73'}
{'_id': ObjectId('5bd7cf57bc877a065acb5eba'), 'city': '天津', 'date': '2014-01-05', 'AQI': '121', 'grade': '轻度污染', 'PM25': '92', 'PM10': '143', 'SO2': '109', 'CO': '2.6', 'NO2': '67', 'O3_8h': '31'}
{'_id': ObjectId('5bd7cf58bc877a065acb659b'), 'city': '杭州', 'date': '2014-01-05', 'AQI': '255', 'grade': '重度污染', 'PM25': '205', 'PM10': '277', 'SO2': '50', 'CO': '2.0', 'NO2': '89', 'O3_8h': '47'}
{'_id': ObjectId('5bd7cf59bc877a065acb6c7c'), 'city': '大连', 'date': '2014-01-05', 'AQI': '100', 'grade': '良', 'PM25': '75', 'PM10': '108', 'SO2': '60', 'CO': '1.1', 'NO2': '45', 'O3_8h': '25'}
{'_id': ObjectId('5bd7cf5abc877a065acb735d'), 'city': '绍兴', 'date': '2014-01-05', 'AQI': '279', 'grade': '重度污染', 'PM25': '229', 'PM10': '333', 'SO2': '40', 'CO': '1.9', 'NO2': '67', 'O3_8h': '31'}
{'_id': ObjectId('5bd7cf5cbc877a065acb7fb3'), 'city': '上海', 'date': '2014-01-05', 'AQI': '65', 'grade': '良', 'PM25': '47', 'PM10': '60', 'SO2': '25', 'CO': '1.0', 'NO2': '63', 'O3_8h': '31'}
{'_id': ObjectId('5bd7cf5dbc877a065acb8694'), 'city': '宁波', 'date': '2014-01-05', 'AQI': '135', 'grade': '轻度污染', 'PM25': '103', 'PM10': '161', 'SO2': '31', 'CO': '1.4', 'NO2': '65', 'O3_8h': '41'}
{'_id': ObjectId('5bd7cf5ebc877a065acb8d75'), 'city': '深圳', 'date': '2014-01-05', 'AQI': '126', 'grade': '轻度污染', 'PM25': '96', 'PM10': '138', 'SO2': '27', 'CO': '1.3', 'NO2': '32', 'O3_8h': '143'}
{'_id': ObjectId('5bd7cf5fbc877a065acb9456'), 'city': '西安', 'date': '2014-01-05', 'AQI': '201', 'grade': '重度污染', 'PM25': '151', 'PM10': '288', 'SO2': '108', 'CO': '4.2', 'NO2': '82', 'O3_8h': '17'}
{'_id': ObjectId('5bd7cf60bc877a065acb9b36'), 'city': '武汉', 'date': '2014-01-05', 'AQI': '195', 'grade': '中度污染', 'PM25': '147', 'PM10': '213', 'SO2': '89', 'CO': '2.2', 'NO2': '91', 'O3_8h': '53'}
{'_id': ObjectId('5bd7cf62bc877a065acba215'), 'city': '厦门', 'date': '2014-01-05', 'AQI': '140', 'grade': '轻度污染', 'PM25': '107', 'PM10': '132', 'SO2': '53', 'CO': '1.2', 'NO2': '38', 'O3_8h': '141'}
{'_id': ObjectId('5bd7cf63bc877a065acba8f6'), 'city': '福州', 'date': '2014-01-05', 'AQI': '206', 'grade': '重度污染', 'PM25': '156', 'PM10': '203', 'SO2': '42', 'CO': '1.4', 'NO2': '76', 'O3_8h': '65'}
{'_id': ObjectId('5bd7cf64bc877a065acbafd2'), 'city': '广州', 'date': '2014-01-05', 'AQI': '149', 'grade': '轻度污染', 'PM25': '114', 'PM10': '143', 'SO2': '39', 'CO': '1.4', 'NO2': '89', 'O3_8h': '113'}
{'_id': ObjectId('5bd7cf65bc877a065acbb6b3'), 'city': '重庆', 'date': '2014-01-05', 'AQI': '210', 'grade': '重度污染', 'PM25': '160', 'PM10': '214', 'SO2': '37', 'CO': '1.6', 'NO2': '47', 'O3_8h': '33'}
{'_id': ObjectId('5bd7cf66bc877a065acbbd94'), 'city': '青岛', 'date': '2014-01-05', 'AQI': '96', 'grade': '良', 'PM25': '72', 'PM10': '126', 'SO2': '55', 'CO': '1.1', 'NO2': '50', 'O3_8h': '39'}
{'_id': ObjectId('5bd7cf67bc877a065acbc475'), 'city': '温州', 'date': '2014-01-05', 'AQI': '228', 'grade': '重度污染', 'PM25': '178', 'PM10': '275', 'SO2': '53', 'CO': '1.7', 'NO2': '94', 'O3_8h': '59'}
{'_id': ObjectId('5bd7cf68bc877a065acbcb56'), 'city': '昆明', 'date': '2014-01-05', 'AQI': '62', 'grade': '良', 'PM25': '34', 'PM10': '75', 'SO2': '28', 'CO': '1.4', 'NO2': '44', 'O3_8h': '59'}
{'_id': ObjectId('5bd7cf69bc877a065acbd237'), 'city': '济南', 'date': '2014-01-05', 'AQI': '242', 'grade': '重度污染', 'PM25': '192', 'PM10': '315', 'SO2': '127', 'CO': '1.8', 'NO2': '79', 'O3_8h': '24'}
{'_id': ObjectId('5bd7cf6abc877a065acbd915'), 'city': '泉州', 'date': '2014-01-05', 'AQI': '177', 'grade': '中度污染', 'PM25': '134', 'PM10': '182', 'SO2': '44', 'CO': '1.3', 'NO2': '36', 'O3_8h': '122'}
{'_id': ObjectId('5bd7cf6bbc877a065acbdff6'), 'city': '中山', 'date': '2014-01-05', 'AQI': '153', 'grade': '中度污染', 'PM25': '117', 'PM10': '152', 'SO2': '55', 'CO': '1.3', 'NO2': '63', 'O3_8h': '138'}
{'_id': ObjectId('5bd7cf6cbc877a065acbe6d7'), 'city': '北京', 'date': '2014-01-05', 'AQI': '119', 'grade': '轻度污染', 'PM25': '91', 'PM10': '117', 'SO2': '36', 'CO': '2.3', 'NO2': '67', 'O3_8h': '44'}
{'_id': ObjectId('5bd7cf6dbc877a065acbedb7'), 'city': '成都', 'date': '2014-01-05', 'AQI': '253', 'grade': '重度污染', 'PM25': '203', 'PM10': '296', 'SO2': '59', 'CO': '1.8', 'NO2': '108', 'O3_8h': '42'}
{'_id': ObjectId('5bd7cf6ebc877a065acbf498'), 'city': '南京', 'date': '2014-01-05', 'AQI': '255', 'grade': '重度污染', 'PM25': '205', 'PM10': '333', 'SO2': '55', 'CO': '2.1', 'NO2': '95', 'O3_8h': '35'}
{'_id': ObjectId('5bd7cf70bc877a065acbfb79'), 'city': '东莞', 'date': '2014-01-05', 'AQI': '148', 'grade': '轻度污染', 'PM25': '113', 'PM10': '143', 'SO2': '46', 'CO': '1.5', 'NO2': '69', 'O3_8h': '167'}
{'_id': ObjectId('5bd7cf72bc877a065acc07c9'), 'city': '郑州', 'date': '2014-01-05', 'AQI': '139', 'grade': '轻度污染', 'PM25': '106', 'PM10': '184', 'SO2': '139', 'CO': '3.0', 'NO2': '81', 'O3_8h': '32'}
{'_id': ObjectId('5bd7cf73bc877a065acc0eaa'), 'city': '南通', 'date': '2014-01-05', 'AQI': '100', 'grade': '良', 'PM25': '75', 'PM10': '119', 'SO2': '48', 'CO': '0.8', 'NO2': '53', 'O3_8h': '45'}
